# Playas rev. 1.5 (2024-03-124)
,Identificador,Tramo,Nombre,Longitud,Anchura,Direccion,ID_Municipio,Municipio,geometry
13,A01-005_13,A01-005,"13.La Habana",3362.746693,15,S,04003,Adra,"LINESTRING (501969.2753985524 4065863.427125978, 502060.4445660672 4065853.297218476, 502145.53578908095 4065861.4011444775, 502242.7829010967 4065899.894792984, 502313.69225360814 4065922.1805894873, 502398.7834766219 4065978.9080714965, 502431.1991806272 4066009.297794001, 502459.5629216318 4066053.8693870082, 502508.18647763965 4066072.103220511, 502597.32966365403 4066074.1292020115, 502743.2003316777 4066068.0512575107, 502812.0837026888 4066074.1292020115, 502876.91511069937 4066104.5189245166, 503225.757120532 4066285.833042639, 503362.7661019291 4066368.4413990695, 503455.4486481684 4066434.931051806, 503553.6719988024 4066483.790872378, 503627.71729389566 4066527.6135980454, 503719.3924211541 4066583.021641993, 503814.5935148455 4066641.9556523734, 503913.82428446034 4066699.882243773, 503983.3361941398 4066747.2309358735, 504028.6700482785 4066771.9127009045, 504111.7821141996 4066802.6389798205, 504174.242091013 4066826.817035361, 504213.02772177616 4066835.883806189, 504268.93947521393 4066849.4839624306, 504352.051541135 4066888.773302684, 504443.7266683934 4066905.8994253585, 504505.17922622594 4066918.99587211, 504569.6540410011 4066933.6034473325, 504664.35142520204 4066957.7815028736, 504731.84849691973 4066982.4632679047, 504838.63490889105 4067023.2637366294, 504919.73213685036 4067072.123557201, 504999.3182363385 4067115.4425733783, 505077.8969168457 4067162.2875559884, 505113.15658117586 4067184.4507735674, 505167.05349665193 4067204.599153185, 505200.8020325108 4067218.703018917, 505221.9578311089 4067245.9033314, 505326.7294051185 4067283.1778336917, 505449.13081129314 4067290.7334760483, 505546.8504524367 4067281.16299573, 505733.222963896 4067258.4960686606, 505894.41000083386 4067239.355108024, 505982.05545216874 4067208.125119617)"
14,A01-006_14,A01-006,"14.Balanegra",2542.373265,30,S,04904,Balanegra,"LINESTRING (506066.67864656204 4067225.251242292, 506270.17728069605 4067298.792827895, 506366.88950285874 4067324.985721397, 506491.80945648556 4067368.3047375744, 506638.8926276913 4067367.2973185936, 506767.84225724154 4067355.2082908233, 506855.4877085765 4067324.985721397, 507005.5931367249 4067257.4886496803, 507140.58728016034 4067196.036091848, 507259.462719902 4067152.7170756706, 507385.3900925096 4067101.338707647, 507518.36939798336 4067012.6858373308, 507689.63062472985 4066889.780721666, 507799.43929364375 4066802.1352703306, 507996.8934138926 4066645.9853282976, 508130.88013834716 4066535.169240403, 508292.3190300301 4066399.167677991)"
15,A01-006_15,A01-006,"15.Balerma",2190.51056,30,S,04902,"Ejido, El","LINESTRING (508837.20677130355 4066094.2975089075, 508915.78545181075 4066040.4005934317, 508977.2380096433 4065985.999968465, 509035.1646010428 4065932.1030529886, 509095.6097398945 4065869.6430761754, 509152.52891231317 4065810.2053563045, 509204.914699318 4065762.856664204, 509246.72258702375 4065721.0487764985, 509297.59724555723 4065672.188955927, 509398.8428531338 4065562.3802870126, 509512.1774884807 4065446.023394723, 509589.748750007 4065358.377943388, 509696.0314524879 4065236.983956194, 509852.18139452144 4065046.581768811, 510069.7838943875 4064808.830889328, 510255.148986866 4064579.1393616917, 510335.7425053349 4064504.5903571076)"
16,A01-006_16,A01-006,"16.Guardias Viejas (Balerma)",3697.466797,30,S,04902,"Ejido, El","LINESTRING (510377.04668354976 4064463.789888388, 510619.8346579374 4064166.601289034, 511115.48479652137 4063566.17957644, 511439.87370835873 4063139.0339285545, 511885.15289789945 4062536.5973779997, 512296.179842091 4061972.4427487175, 512562.13845303835 4061638.9870660524, 512616.53907800483 4061555.371290641, 512637.69487660297 4061544.2896818514)"
17,A02-001_01,A02-001,"01.Playa Los Banos",1143.382331,18,S,04902,"Ejido, El","LINESTRING (513985.51242351625 4061287.808020748, 514040.6555328713 4061387.0656175874, 514093.0414867586 4061428.4229496038, 514156.4560625169 4061436.694416007, 514291.5566804368 4061467.0231261523, 514316.3710796466 4061527.6805464425, 514545.21498347004 4061759.281605734, 514749.24448808376 4061924.710933799, 514834.7163075841 4061988.1255095573)"
18,A02-001_02,A02-001,"02.Playa de San Miguel",2338.294325,45,S,04902,"Ejido, El","LINESTRING (514836.0948853179 4061988.1255095582, 514922.94528255216 4062018.4542197036, 515034.6100789961 4062057.0543962517, 515104.9175434238 4062076.354484526, 515212.44660666614 4062083.2473731954, 515387.5259788685 4062102.5474614697, 515459.21202103 4062124.6047052117, 515540.5481073288 4062154.9334153566, 515609.4769940226 4062181.1263923002, 515683.92019165197 4062179.7478145664, 515774.9063220878 4062185.262125502, 515868.6496079914 4062215.590835647, 515959.6357384272 4062245.9195457925, 516079.57200127444 4062270.7339450023, 516165.04382077476 4062284.519722341, 516165.04382077476 4062288.655455543, 516272.57288401714 4062291.412611011, 516356.6661257836 4062295.5483442126, 516509.68825424387 4062287.2768778093, 516647.5460276315 4062267.976789535, 516832.2754439709 4062218.3479911154, 516932.9116185439 4062189.397858704, 517026.6549044475 4062145.28337122, 517098.34094660904 4062114.9546610746)"
19,A02-001_03,A02-001,"03.Playa Poniente de Almerimar",1624.044183,85,S,04902,"Ejido, El","LINESTRING (517098.340946609 4062114.265372207, 517214.8307651215 4062062.5687071867, 517323.7384060977 4062011.5613310337, 517385.08511525515 4061975.718309953, 518010.959406435 4061627.6274321484, 518023.36660603987 4061630.3845876167, 518031.63807244314 4061641.4132094877, 518050.93816071743 4061668.984764165, 518112.9741587418 4061645.548942689, 518195.68882277445 4061591.784411068, 518206.7174446454 4061557.319967721, 518283.9177977425 4061423.597927535, 518299.0821528152 4061345.0189967044, 518299.0821528152 4061292.633042817, 518304.5964637507 4061252.6542885345)"
20,A02-003_04,A02-003,"04.Playa Levante de Almerimar",942.446259,50,S,04902,"Ejido, El","LINESTRING (518997.3317750235 4060927.3099433403, 519104.8608382658 4060906.631277332, 519153.1110589515 4060873.5454117195, 519211.0113237743 4060833.566657437, 519268.9115885971 4060771.5306594125, 519344.7333639603 4060673.651640307, 519404.012206517 4060612.9942200165, 519478.4554041462 4060528.90097825, 519537.7342467029 4060454.4577806205, 519602.52740019513 4060393.80036033, 519643.8847322114 4060326.25005137, 519672.8348646228 4060306.949963096)"
21,A02-003_05,A02-003,"05.Playa Entina",4260.453674,50,S,04902,"Ejido, El","LINESTRING (519670.07770915504 4060311.774985166, 519716.94935210684 4060372.4324054564, 519774.8496169296 4060408.2754265373, 519863.0785918977 4060408.2754265373, 519915.464545785 4060394.4896491985, 519984.3934324788 4060344.860850779, 520061.5937855759 4060292.4748968915, 520199.4515589635 4060124.2884133584, 520373.1523534319 4059920.258908745, 520524.7959041583 4059730.0151814697, 520577.18185804563 4059688.657849454, 520742.6111861108 4059600.4288744857, 520863.9260266919 4059594.91456355, 521010.0552664828 4059528.742832324, 521255.44210311276 4059448.785323759, 521506.34325067827 4059410.1851472105, 521704.8584443565 4059443.2710128236, 521919.91657084116 4059490.1426557754, 522110.1602981161 4059501.1712776464, 522305.91833632655 4059539.771454195, 522402.4187776979 4059545.2857651305, 522501.67637453694 4059614.214651825, 522661.5913916666 4059658.329139309, 522780.14907677996 4059716.229404132, 522904.22107282886 4059779.6439798903, 523033.8073798132 4059807.215534568, 523235.0797289592 4059829.27277831, 523364.66603594355 4059823.7584673744, 523450.13785544387 4059815.487000971)"
22,A02-003_06,A02-003,"06.Playa El Príncipe",3462.530828,60,S,04902,"Ejido, El","LINESTRING (523450.13785544375 4059814.7977121035, 523590.75278429914 4059829.272778309, 523638.3137161179 4059858.2229107204, 523670.71029286395 4059871.319399192, 523761.6964232998 4059867.1836659904, 523978.82241638534 4059856.8443329856, 524060.15850268403 4059844.437133381, 524158.03752178926 4059831.340644909, 524195.94840947085 4059828.5834894413, 524386.8814256126 4059867.872954857, 524454.4317345725 4059880.280154462, 524527.4963544679 4059924.394641946, 524581.2608860892 4059932.6661083493, 524703.9543044041 4059907.8517091395, 524847.3263887273 4059883.0373099297, 525018.2700277279 4059856.844332986, 525100.9846917605 4059887.1730431314, 525236.0853096804 4059934.0446860828, 525306.3927741082 4059964.373396228, 525408.4075264151 4060002.9735727767, 525502.1508123187 4060008.487883712, 525638.6300079724 4059946.4518856877, 525762.7020040213 4059899.580242736, 525936.4027984897 4059898.201665003, 526019.1174625222 4059934.0446860837, 526140.4323031034 4059920.258908745, 526294.8330092975 4059854.087177519, 526487.8338920402 4059787.915446293, 526647.7489091698 4059760.3438916155, 526788.3638380253 4059746.5581142767)"
